Action,Adventure,Fantasy,Sci-fi,Thriller,Comedy,Romance,Horror,Animation
1,1,1,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,0,0,0,0,1,0,0
0,1,1,0,0,1,1,0,1
1,1,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0
0,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0
1,1,0,1,1,0,0,0,0
1,1,0,0,1,0,0,0,0
1,1,1,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0
0,1,1,0,0,1,0,0,1
1,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,1
1,1,0,1,0,0,0,0,0
0,1,1,0,0,1,0,0,1
1,1,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0
1,1,0,1,1,0,0,1,0
1,1,1,1,1,0,0,0,0
1,1,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0
0,1,1,0,0,1,0,0,1
0,1,1,0,0,1,0,0,1
1,1,0,1,1,0,0,0,0
0,1,0,1,0,0,0,0,1
1,0,0,0,1,1,0,0,0
1,1,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0
1,1,0,0,0,0,1,0,0
0,1,1,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0
