gross,genres,movie_title,plot_keywords,movie_imdb_link,language,country,title_year,imdb_score,Action,Adventure,Fantasy,Sci-fi,Thriller,Comedy,Romance,Mystery,Horror,Animation
760505847,Action|Adventure|Fantasy|Sci-Fi,Avatar,avatar|future|marine|native|paraplegic,tt0499549,English,USA,2009,7.9,1,1,1,1,0,0,0,0,0,0
309404152,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End,goddess|marriage ceremony|marriage proposal|pirate|singapore,tt0449088,English,USA,2007,7.1,1,1,1,0,0,0,0,0,0,0
200074175,Action|Adventure|Thriller,Spectre,bomb|espionage|sequel|spy|terrorist,tt2379713,English,UK,2015,6.8,1,1,0,0,1,0,0,0,0,0
448130642,Action|Thriller,The Dark Knight Rises,deception|imprisonment|lawlessness|police officer|terrorist plot,tt1345836,English,USA,2012,8.5,1,0,0,0,1,0,0,0,0,0
73058679,Action|Adventure|Sci-Fi,John Carter,alien|american civil war|male nipple|mars|princess,tt0401729,English,USA,2012,6.6,1,1,0,1,0,0,0,0,0,0
336530303,Action|Adventure|Romance,Spider-Man 3,sandman|spider man|symbiote|venom|villain,tt0413300,English,USA,2007,6.2,1,1,0,0,0,0,1,0,0,0
200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled,17th century|based on fairy tale|disney|flower|tower,tt0398286,English,USA,2010,7.8,0,1,1,0,0,1,1,0,0,1
458991599,Action|Adventure|Sci-Fi,Avengers: Age of Ultron,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,tt2395427,English,USA,2015,7.5,1,1,0,1,0,0,0,0,0,0
301956980,Adventure|Family|Fantasy|Mystery,Harry Potter and the Half-Blood Prince,blood|book|love|potion|professor,tt0417741,English,UK,2009,7.5,0,1,1,0,0,0,0,1,0,0
330249062,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice,based on comic book|batman|sequel to a reboot|superhero|superman,tt2975590,English,USA,2016,6.9,1,1,0,1,0,0,0,0,0,0
200069408,Action|Adventure|Sci-Fi,Superman Returns,crystal|epic|lex luthor|lois lane|return to earth,tt0348150,English,USA,2006,6.1,1,1,0,1,0,0,0,0,0,0
168368427,Action|Adventure,Quantum of Solace,action hero|attempted rape|bond girl|official james bond series|revenge,tt0830515,English,UK,2008,6.7,1,1,0,0,0,0,0,0,0,0
423032628,Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest,box office hit|giant squid|heart|liar's dice|monster,tt0383574,English,USA,2006,7.3,1,1,1,0,0,0,0,0,0,0
89289910,Action|Adventure|Western,The Lone Ranger,horse|outlaw|texas|texas ranger|train,tt1210819,English,USA,2013,6.5,1,1,0,0,0,0,0,0,0,0
291021565,Action|Adventure|Fantasy|Sci-Fi,Man of Steel,based on comic book|british actor playing american character|final battle|origin of hero|reboot,tt0770828,English,USA,2013,7.2,1,1,1,1,0,0,0,0,0,0
141614023,Action|Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian,brother brother relationship|brother sister relationship|good versus evil|king|narnia,tt0499448,English,USA,2008,6.6,1,1,1,0,0,0,0,0,0,0
623279547,Action|Adventure|Sci-Fi,The Avengers,alien invasion|assassin|battle|iron man|soldier,tt0848228,English,USA,2012,8.1,1,1,0,1,0,0,0,0,0,0
241063875,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides,blackbeard|captain|pirate|revenge|soldier,tt1298650,English,USA,2011,6.7,1,1,1,0,0,0,0,0,0,0
179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Men in Black 3,alien|criminal|m.i.b.|maximum security prison|prison,tt1409024,English,USA,2012,6.8,1,1,1,1,0,1,0,0,0,0
255108370,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies,army|elf|hobbit|middle earth|orc,tt2310332,English,New Zealand,2014,7.5,0,1,1,0,0,0,0,0,0,0
262030663,Action|Adventure|Fantasy,The Amazing Spider-Man,lizard|outcast|spider|spider man|teenager,tt0948470,English,USA,2012,7,1,1,1,0,0,0,0,0,0,0
105219735,Action|Adventure|Drama|History,Robin Hood,1190s|archer|england|king of england|robin hood,tt0955308,English,USA,2010,6.7,1,1,0,0,0,0,0,0,0,0
258355354,Adventure|Fantasy,The Hobbit: The Desolation of Smaug,dwarf|elf|lake town|mountain|sword and sorcery,tt1170358,English,USA,2013,7.9,0,1,1,0,0,0,0,0,0,0
70083519,Adventure|Family|Fantasy,The Golden Compass,children|epic|friend|girl|quest,tt0385752,English,USA,2007,6.1,0,1,1,0,0,0,0,0,0,0
218051260,Action|Adventure|Drama|Romance,King Kong,animal name in title|ape abducts a woman|gorilla|island|king kong,tt0360717,English,New Zealand,2005,7.2,1,1,0,0,0,0,1,0,0,0
